Row	Meal	Name	Pos
214	L	Pain complet	34755
215	L	Viande hachée	34997
216	S	Expresso	35190
217	S	Expresso crème, non sucré	35294
218	S	Pain toast	35452
219	S	Raisin	35779
220	S	Yaourt nature 	35928
221	S	Jambon cuit de devant	36091
222	S	Jambon cru	36246
223	L	Fruit	36402
224	D	Pâtes alimentaires au blé complet	36624
225	B	Bel Vita petit déjeuner 	36801
226	B	Passion Joghurt Himbeer-Cranberry 0%	36951
227	B	Laitue	37056
228	D	Pain complet	37396
229	D	Jaune d'oeuf	37638
230	D	Poire	37774
231	D	Dinde, poitrine, escalope ou émincé	37976
232	D	Nesquik Céréales (Nestlé)	38138
233	L	Tartines 	38209
234	D	Jus d'orange	38518
235	L	Avocat	38654
236	D	Galette des rois	38832
237	D	Laitue	38886
238	S	Orange	39226
239	D	Fruit	39390
240	D	Petit suisse fruit	39612
241	L	Maggi Bouillon de poule dégraissé (Nestlé)	39817
242	L	Jus de tomate	39931
243	B	Poire	40071
244	D	Frites	40273
245		Fromage à la crème	40462
246		Fromage Suisse	40693
247		Fromage américain	40925
248		Fromage américain	41163
249		Fromage à tartiner	41399
250		Moitié-moitié	41545
251		Crème légère	41716
252		Crème à fouetter lourde	41884
253		Beurre salé	42077
254		Beurre fouetté	42304
255		Huile de beurre	42531
256		Crème sure	42745
257		Substitut de crème en poudre	42878
258		Lait entier	43047
259		lait 2 %	43211
260		lait 1 %	43374
261		Lait écrémé	43537
262		Lait sec	43701
263		Lait entier au chocolat	43847
264		Chocolat au lait	44016
265		Lait au chocolat faible en gras	44182
266		Yogourt faible en gras vanille	44345
267		Yogourt aux fruits graisse faible	44519
268		Oeuf	44696
269		Jaune d'oeuf	44890
270		Oeuf au plat	45040
271		Oeuf dur	45236
272		Œuf brouillé	45460
273		Oeufs	45683
274		Beurre sans sel	45840
275		Non enrichi de lait	46066
276		Yogourt aux fruits de graisse faible lumière	46228
277		Substitut de crème	46401
278		Yogourt aux fruits de graisse faible fortifiée	46567
279		Yogourt aux fruits de graisse faible fortifiée légère	46746
280		Moutarde	46921
281		Sel	47061
282		Céréales riz pour bébés	47202
283		Saindoux	47341
284		Huile d'arachide	47452
285		Huile de soja	47590
286		Huile d'olive	47734
287		Vinaigrette italienne	47880
288		Pansement français	48041
289		Bas niveau d'huile végétale grasse répartis	48201
290		Huile de maïs	48422
291		Vinaigrette fromage bleu	48565
292		Bâton de beurre	48730
293		Huile végétale se propager	48951
294		Huile végétale	49108
295		Huile de soja industriels	49255
296		Soja industriel et huile de coton	49398
297		Huile de noix de coco	49541
298		Poulet	49684
299		Poulet pané	49878
300		Poulet	50077
301		Poulet frit	50267
302		Viande de poulet rôti	50464
303		Ragoût de poulet	50656
304		Foie de poulet	50848
305		Poitrine de poulet avec peau	50970
306		Poitrine de poulet pané	51121
307		Poitrine de poulet rôti	51278
308		Viande de poitrine de poulet	51428
309		Poitrine de poulet	51584
310		Pilon	51735
311		Cuisse de poulet	51893
312		Cuisse de poulet	52044
313		Aile de poulet	52205
314		Aile de poulet rôti	52346
315		Rôti de dinde	52467
316		Viande de dinde rôtie	52604
317		Dinde hachée	52737
318		Bouillon de bœuf	52859
319		Soupe de nouilles de poulet	53012
320		Velouté de champignons	53174
321		Sauce	53336
322		Bouillon de boeuf	53489
323		Bouillon de poulet	53649
324		Chaudrée de palourdes	53811
325		Bouillon de poulet	53979
326		Bologne	54136
327		Saucisson de foie	54298
328		Rouleau de poulet	54436
329		Poulet Hot-Dog	54594
330		Pain de viande	54725
331		Saucisse	54855
332		Saucisse de porc et de boeuf	54981
333		Poitrine de dinde	55148
334		Roulade de dinde viande léger	55341
335		Roulade de dinde	55492
336		Saucisse italienne	55645
337		Saucisse de porc précuit	55807
338		Prises d'Apple	55934
339		Cailloux cacao	56055
340		Maïs chex	56173
341		Flocons de maïs	56291
342		Cailloux fruité	56414
343		Céréales raisin-noix	56527
344		Kix	56658
345		Porte-bonheur	56788
346		Miel noix chex	56921
347		Chex riz	57054
348		Blé chex	57175
349		Grains de maïs	57298
350		Avoine	57426
351		Farine d'avoine	57546
352		Avoine à la cannelle et aux épices	57671
353		Souffles de Reese	57796
354		Carrés gruau	57921
355		Céréales de son d'avoine	58052
