Row	Meal	Name	Pos
231	D	Зимние игры в сквош	40518
232	S	Рыба	40732
233	S	Шоколад с чаем	40836
234	B	Бисквит	41010
235	B	Киви	41151
236	S	Лук	41294
237	B	Картофельное пюре	41615
238	B	Конфета	41736
239	B	Яйцо жареное	41824
240	B	Йогурт со злаками	42020
241	B	Патиссоны	42189
242	S	Candies, MARS SNACKFOOD US, DOVE Milk Chocolate	42404
243	D	Бутерброд 	42554
244	S	Макароны	42580
245	S	Изюм	42751
246	S	Яйцо жареное	43016
247	S	Тортилья	43212
248	S	Кукурузный хлеб	43399
249	L	Куриная грудка 	43549
250	L	Яичный желток	43688
251	L	Бисквит	43825
252	L	Мед	43966
253	L	Патиссоны	44059
254	D	Амлет	44274
255	L	Картошка вареная	44410
256	B	Макароны	44633
257	D	Пережаренные бобы	44804
258	S	Бисквит	44935
259	D	Фрукты, мед, женьшень.	45076
260	B	Говядина 	45296
261	B	Спагетти, сосиска, чай	45476
262	B	Кола	45586
263	B	Куриный суп с лапшой	45732
264	B	Запеканка творожная	45891
265	B	Салата с майонезом	46042
266	B	Тушеная курица	46195
267	L	Бутерброд 	46391
268		Сливочный сыр	46417
269		Сыр Монтерей	46644
270		Влажный сыр моцарелла	46906
271		Сыр моцарелла	47168
272		Сыр пармезан	47429
273		Сыр проволоне	47579
274		Сыр рикотта	47843
275		Швейцарский сыр	47988
276		Американский сыр	48249
277		Американский сыр	48516
278		Сыр	48781
279		Половина и половина	48935
280		Легкий крем	49099
281		Тяжелые взбитые сливки	49275
282		Соленым маслом	49473
283		Маслом	49707
284		Масло сливочное масло	49941
285		Сыр чеддер	50162
286		Сыр Колби	50425
287		Сметана	50688
288		Крем заменить порошок	50825
289		Цельное молоко	50993
290		2% молоко	51161
291		молоко 1%	51328
292		Обезжиренное молоко	51495
293		Сухое молоко	51663
294		Весь шоколад молоко	51809
295		Шоколадное молоко	51982
296		Обезжиренного шоколадного молока	52152
297		Обезжиренный йогурт ванильный	52319
298		Низкий жира фруктовый йогурт	52499
299		Яйцо	52682
300		Яичный желток	52883
301		Жареное яйцо	53027
302		Вкрутую яйцо	53230
303		Яичница	53467
304		Сушеные яйца	53703
305		Сливочного масла без соли	53867
306		Необогащенным обезжиренное молоко	54100
307		Сырный соус	54266
308		Низкий жирный Чеддер сыр	54418
309		Легких низкий жира фруктовый йогурт	54673
310		Крем заменить	54852
311		Укрепленные низкий жира фруктовый йогурт	55017
312		Свет укрепленный низкий жира фруктовый йогурт	55202
313		Порошок Чили	55383
314		Горчица	55535
315		Соль	55670
316		Детская каша	55810
317		Сало	55984
318		Майонез Туалетная	56099
319		Салата с майонезом	56244
320		Масло арахисовое	56404
321		Соевое масло	56542
322		Оливковое масло	56686
323		Итальянский соус	56832
324		Французским соусом	56993
325		Низкий жира растительного масла распространения	57153
326		Кукурузное масло	57381
327		Соусом из голубого сыра	57524
328		Рапсовое масло	57689
329		Масло палкой	57831
330		Маргарин	58059
331		Распространение растительного масла	58285
332		Растительное масло	58442
333		Промышленные соевое масло	58589
334		Промышленные соевый и масло хлопковое	58732
335		Кокосовое масло	58875
336		Курица	59018
337		Панированный цыпленок	59231
338		Курица	59449
339		Жареная курица	59658
340		Жареное куриное мясо	59874
341		Тушеная курица	60085
342		Куриная печень	60296
343		Куриная грудка с кожей	60420
344		Панированные куриные грудки	60574
345		Запеченная куриная грудка	60734
346		Мясо куриной грудки	60887
347		Куриная грудка	61046
348		Голень	61200
349		Куриные ноги	61357
350		Куриные бедра	61490
351		Крыло цыпленка	61646
352		Жареное куриное крылышко	61787
353		Жареные индейки	61904
354		Мясо индейки жареные	62040
355		Индейки	62172
356		Куриный Наггет	62294
357		Говяжий бульон	62425
358		Куриный суп с лапшой	62582
359		Крем из шампиньонов	62748
360		Соус	62914
361		Соус Барбекю	63067
362		Сальса	63235
363		Говядина фондовой	63397
364		Куриный бульон	63561
365		Клэм-чаудер	63727
366		Куриный бульон	63899
367		Суп с лапшой рамэн	64060
368		Маринара соусом	64234
369		Болонья	64360
370		Колбаса ливерная	64522
371		Куриный рулет	64659
372		Чоризо	64817
373		Франкфуртер говядина	64948
374		Хот-дог	65082
375		Курица-хот-дог	65207
376		Киэлбаза свиная колбаса	65338
377		Обед мясо	65479
378		Пепперони	65611
379		Колбаса	65745
380		Колбаса из свинины и говядины	65870
381		Салями	66033
382		Грудка индейки	66169
383		Ролл светлого мяса Турция	66360
384		Турция ролл	66511
385		Итальянская колбаса	66664
386		Заранее приготовленная свиная колбаса	66827
387		Капитан хруст	66953
388		Овсяные хлопья зерновые	67081
389		Какао галька	67214
390		Печенье чипсы	67331
391		Кукурузные хлопья	67454
392		Все отруби пшеничные хлопья	67577
393		Хлопья из отрубей	67690
394		Матовый Мини-пшеницы	67812
395		Фруктовый гальки	67938
396		Гранола	68050
397		Виноград орехи зерновых	68175
398		Мед орех овсяные хлопья	68305
399		Талисманы	68426
400		Отруби изюм	68558
401		Зерновые отруби изюм	68686
402		Матовое хлопья	68810
403		Цельное зерно всего	68938
404		Мульти зерновые хлопья	69059
405		Кукурузная	69175
406		Овес	69303
407		Овсяная каша	69439
408		Овса с корицей и специями	69580
409		Овес с изюмом и специями	69721
410		Низкий жира гранола без изюма	69866
411		Риз пуфы	69982
412		Овсянка квадраты	70106
413		Овсяные отруби зерновых	70237
414		Волокна, один	70367
415		Всего изюм отруби	70482
416		Какао пуфы	70600
417		Корицы тост кризиса	70721
418		Низкий жира гранола с изюмом	70855
419		Смарт-старт зерновых	70973
420		Мед поджаренный овес	71088
421		Ваниль миндаль	71207
422		Яблочный сок	71325
423		Яблочное пюре	71491
424		Авокадо	71630
425		Банан	71827
426		Голубика	72160
427		Виноградный сок	72310
428		Виноград	72478
429		Манго	72634
430		Дыня	72779
431		Оранжевый	73140
432		Свежий апельсиновый сок	73343
433		Концентрированный апельсиновый сок	73505
434		Апельсиновый сок с кальцием	73674
435		Апельсиновый сок, замороженный концентрат	73844
436		Персик	74017
437		Груша	74246
438		Ананас	74466
439		Изюм	74725
440		Клубника	74997
441		Замороженной клубники	75320
442		Арбуз	75647
443		Яблочный сок с витамином с	76004
444		Сок яблоко, виноград и груши	76171
445		Жареная жиров по корейки	76339
446		Жареная свиная корейка	76484
447		Жареная свиная корейка	76628
448		Свиные отбивные	76773
449		Бэкон	76919
450		Ветчина	77105
451		Жареного жира на Хэм	77256
452		Буженина	77388
453		Дополнительные постной ветчины	77518
454		Дополнительные худой буженина	77670
455		Свиные отрубы	77822
456		Землю свинины	77971
457		Ветчина с натуральных соков	78092
458		Ветчина и вода	78252
459		Любительское - добавить воды	78408
460		Спаржа	78567
461		Зеленые бобы оснастки	78714
462		Консервированная стручковая фасоль	78851
463		Замороженные зеленые бобы оснастки	79034
464		Сырой брокколи	79169
465		Брокколи	79435
466		Нарезанные брокколи	79700
467		Замороженные брокколи	79964
468		Брюссельская капуста	80228
469		Сырой капусты	80367
470		Капуста	80710
471		Морковь	81051
472		Вареных моркови	81396
473		Замороженная морковь	81739
474		Сельдерей	82084
475		Цикорий зелень	82373
476		Капуста	82501
477		Кукуруза	82636
478		Консервы кукуруза	82945
479		Кукуруза замороженная	83098
480		Огурец	83407
481		Эндивий	83664
482		Кале	83828
483		Салат Ромен	83957
484		Салат Айсберг	84289
485		Зеленый салат	84625
486		Белый гриб	84961
487		Горчица	85123
488		Лук	85257
489		Приготовленный лук	85582
490		Зеленый лук	85910
491		Петрушка	86136
492		Зеленый горошек	86308
493		Горошек зеленый консервированный	86437
494		Замороженный зеленый горошек	86566
495		Картофель	86695
496		Печеный картофель	86928
497		Картофель в коже	87158
498		Отварной картофель	87387
499		Хэшированные Браунс	87617
500		Картофельное пюре	87758
501		Слойки картофельные	87886
502		Картофель в духовке	88055
503		Сырой шпинат	88255
504		Приготовленные шпинат	88448
505		Консервированный шпинат	88577
